Nodes;Addjested Nodes
253541;{472260560,472260561,392990042,1401766304,406438130,}
253545;{392979071,1353396960,1353396914,}
253546;{1379643929,1353396960,}
253548;{2669907777,1293906385,1379643929,}
253549;{253550,1379643973,}
253550;{392978876,253549,}
370889;{1201855399,1820299986,}
249850484;{1736446220,1736446196,1736446209,}
364906523;{734564323,392987028,}
365568018;{1150747094,}
365580436;{3135042376,3135042368,}
365583834;{3160668217,3160668214,3160668219,3160668216,}
365583839;{2930480016,3130902659,3130902657,3130902656,}
365583842;{2452432622,2452432617,2452432620,2452432619,}
365583845;{1831948003,392979570,2670260356,2881605328,}
370927460;{392979609,1743494200,}
370927524;{2098210710,1406160466,}
370940453;{3130902697,3130902688,3130902694,3130902686,}
370948606;{370948607,4034488074,4034488072,}
370948607;{370948608,370948606,}
370948608;{370948609,370948607,}
370948609;{370948610,370948608,}
370948610;{370948611,370948609,}
370948611;{370948612,370948610,}
370948612;{370948611,1954309142,392980926,}
370948754;{2353316446,}
370951817;{1683114454,3014934767,3014934772,}
370951829;{370951830,392979958,}
370951830;{370951831,370951829,}
370951831;{370951830,1781833939,}
370951835;{1781833933,}
370951858;{2141086080,3014934767,}
370951859;{2930480005,521698556,}
370951860;{2930480007,521698556,}
370951861;{3014934764,1295341840,1831896433,}
392977088;{392977122,438078621,}
392977093;{392977094,1361845114,}
392977094;{1361845220,392977093,}
392977095;{1274489046,1361845220,}
392977096;{1361845233,}
392977116;{392977627,392977119,}
392977118;{1276801959,392977121,}
392977119;{392977116,1276801959,}
392977120;{1362278083,392977123,}
392977121;{392977118,1362278083,}
392977122;{392977123,392977169,392977088,}
392977123;{392977120,392977122,}
392977131;{392977145,392977132,}
392977132;{392977131,1381300524,}
392977142;{392977273,392977143,}
392977143;{392977142,392977226,}
392977144;{392977226,1381300509,}
392977145;{1381300509,392977131,}
392977153;{1362278114,392977159,}
392977154;{392977155,1362278114,}
392977155;{438078621,392977154,}
392977159;{392977153,1362278143,}
